Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
1099.7841486790567	0.1	0.0659173023601276	15.170523734977436	12.509342509142625	1876.6670864950313	14.92467319370857	27.8118794223419	28.37946879830806	5013.467282510404	0.0	233.56941073597605	62.23480952503936	Liquid
1099.8795732977749	0.1	0.06591604622167557	15.17081283420734	12.511913252748357	1877.057245115677	14.927036226108248	27.81169449644413	28.379280098412377	5013.515052206784	0.0	233.55111229324925	62.236971673220594	Liquid
1099.974997916493	0.1	0.06591479007017184	15.171101947459983	12.514483977282223	1877.4474011423365	14.929399031501214	27.811509606595248	28.379091435301273	5013.562823765042	0.0	233.53281733818883	62.2391335950302	Liquid
1100.0704225352113	0.1	0.06591353390561565	15.171391074736515	12.517054682754544	1877.8375545755152	14.931761609938354	27.81132475279526	28.378902808974757	5013.610597185316	0.0	233.51452586976305	62.24129529046817	Liquid
1100.1658471539295	0.1	0.06591227772800617	15.1716802160381	12.51962536917564	1878.2277054157182	14.934123961470561	27.811139935044178	28.378714219432837	5013.658372467743	0.0	233.49623788693907	62.24345675953451	Liquid
1100.261271772648	0.1	0.06591102153734264	15.171969371365888	12.522196036555838	1878.6178536634534	14.936486086148706	27.810955153341986	28.378525666675497	5013.7061496124625	0.0	233.47795338868607	62.24561800222924	Liquid
1100.3566963913659	0.1	0.06590976533362425	15.172258540721039	12.52476668490544	1879.0079993192226	14.938847984023633	27.810770407688697	28.37833715070275	5013.7539286196115	0.0	233.45967237397264	62.24777901855232	Liquid
1100.4521210100843	0.1	0.06590850911685019	15.172547724104712	12.527337314234787	1879.3981423835362	14.941209655146205	27.810585698084296	28.378148671514587	5013.801709489329	0.0	233.44139484176762	62.24993980850379	Liquid
1100.5475456288025	0.1	0.06590725288701967	15.172836921518064	12.529907924554184	1879.7882828568963	14.943571099567244	27.810401024528797	28.377960229111018	5013.8494922217515	0.0	233.4231207910418	62.25210037208363	Liquid
1100.6429702475207	0.1	0.06590599664413191	15.173126132962247	12.532478515873953	1880.1784207398098	14.945932317337572	27.810216387022187	28.37777182349203	5013.897276817018	0.0	233.40485022076427	62.254260709291856	Liquid
1100.7383948662389	0.1	0.0659047403881861	15.173415358438424	12.535049088204415	1880.5685560327827	14.948293308508005	27.81003178556448	28.377583454657632	5013.945063275266	0.0	233.3865831299059	62.25642082012845	Liquid
1100.833819484957	0.1	0.06590348411918145	15.173704597947747	12.537619641555896	1880.9586887363205	14.95065407312933	27.809847220155667	28.377395122607826	5013.992851596634	0.0	233.36831951743787	62.2585807045934	Liquid
1100.9292441036755	0.1	0.06590222783711715	15.173993851491385	12.540190175938715	1881.3488188509293	14.95301461125235	27.80966269079575	28.377206827342604	5014.040641781259	0.0	233.3500593823309	62.26074036268675	Liquid
1101.0246687223935	0.1	0.06590097154199244	15.17428311907048	12.542760691363174	1881.7389463771135	14.955374922927808	27.80947819748473	28.37701856886197	5014.08843382928	0.0	233.33180272355713	62.26289979440844	Liquid
1101.120093341112	0.1	0.06589971523380647	15.174572400686205	12.545331187839622	1882.1290713153808	14.957735008206487	27.809293740222607	28.376830347165924	5014.136227740834	0.0	233.31354954008864	62.26505899975852	Liquid
1101.2155179598299	0.1	0.06589845891255848	15.174861696339713	12.547901665378351	1882.519193666234	14.960094867139127	27.809109319009384	28.376642162254473	5014.184023516062	0.0	233.2952998308985	62.26721797873699	Liquid
1101.3109425785483	0.1	0.06589720257824767	15.175151006032156	12.550472123989703	1882.909313430183	14.962454499776467	27.80892493384505	28.3764540141276	5014.231821155098	0.0	233.27705359495852	62.26937673134382	Liquid
1101.4063671972665	0.1	0.06589594623087323	15.175440329764703	12.553042563683983	1883.2994306077296	14.964813906169223	27.808740584729613	28.37626590278532	5014.279620658082	0.0	233.25881083124278	62.27153525757903	Liquid
1101.5017918159847	0.1	0.06589468987043437	15.175729667538507	12.555612984471516	1883.6895451993819	14.967173086368113	27.808556271663072	28.376077828227626	5014.327422025153	0.0	233.24057153872522	62.2736935574426	Liquid
1101.597216434703	0.1	0.06589343349693032	15.176019019354722	12.558183386362622	1884.0796572056445	14.96953204042383	27.808371994645427	28.37588979045452	5014.375225256448	0.0	233.22233571637926	62.27585163093454	Liquid
1101.692641053421	0.1	0.06589217711036022	15.17630838521452	12.560753769367622	1884.469766627023	14.971890768387063	27.808187753676684	28.375701789466003	5014.423030352105	0.0	233.20410336318065	62.27800947805487	Liquid
1101.7880656721395	0.1	0.06589092071072332	15.17659776511905	12.563324133496838	1884.8598734640245	14.974249270308494	27.80800354875683	28.375513825262072	5014.470837312264	0.0	233.18587447810333	62.28016709880357	Liquid
1101.8834902908575	0.1	0.06588966429801885	15.176887159069466	12.565894478760576	1885.2499777171522	14.976607546238766	27.807819379885874	28.37532589784273	5014.51864613706	0.0	233.1676490601232	62.282324493180646	Liquid
1101.978914909576	0.1	0.06588840787224594	15.17717656706694	12.56846480516918	1885.640079386915	14.978965596228555	27.807635247063818	28.375138007207976	5014.566456826634	0.0	233.149427108216	62.28448166118609	Liquid
1102.074339528294	0.1	0.06588715143340383	15.177465989112628	12.571035112732952	1886.0301784738162	14.981323420328476	27.80745115029066	28.374950153357815	5014.6142693811225	0.0	233.13120862135855	62.28663860281992	Liquid
1102.1697641470123	0.1	0.06588589498149175	15.177755425207682	12.573605401462213	1886.420274978362	14.983681018589161	27.80726708956639	28.374762336292235	5014.662083800665	0.0	233.11299359852632	62.2887953180821	Liquid
1102.2651887657305	0.1	0.06588463851650884	15.178044875353274	12.576175671367286	1886.8103689010588	14.98603839106123	27.80708306489102	28.374574556011247	5014.709900085398	0.0	233.0947820386971	62.29095180697266	Liquid
1102.3606133844487	0.1	0.06588338203845436	15.178334339550556	12.578745922458491	1887.2004602424117	14.988395537795276	27.80689907626455	28.374386812514846	5014.757718235461	0.0	233.07657394084774	62.29310806949161	Liquid
1102.4560380031671	0.1	0.06588212554732747	15.178623817800688	12.581316154746153	1887.5905490029277	14.990752458841897	27.80671512368697	28.374199105803033	5014.805538250993	0.0	233.05836930395697	62.29526410563892	Liquid
1102.551462621885	0.1	0.06588086904312741	15.17891331010483	12.583886368240577	1887.9806351831091	14.993109154251652	27.80653120715829	28.374011435875808	5014.853360132131	0.0	233.04016812700218	62.297419915414615	Liquid
1102.6468872406035	0.1	0.06587961252585338	15.179202816464143	12.586456562952101	1888.3707187834661	14.995465624075125	27.8063473266785	28.373823802733167	5014.901183879013	0.0	233.02197040896266	62.29957549881868	Liquid
1102.7423118593215	0.1	0.06587835599550454	15.179492336879791	12.589026738891027	1888.7607998045	14.997821868362852	27.806163482247616	28.373636206375117	5014.949009491778	0.0	233.00377614881677	62.3017308558511	Liquid
1102.83773647804	0.1	0.06587709945208012	15.179781871352933	12.591596896067694	1889.1508782467213	15.000177887165394	27.80597967386562	28.373448646801656	5014.996836970565	0.0	232.98558534554473	62.303885986511915	Liquid
1102.933161096758	0.1	0.06587584289557931	15.18007141988473	12.594167034492408	1889.5409541106317	15.00253368053326	27.805795901532527	28.37326112401278	5015.044666315512	0.0	232.96739799812588	62.30604089080109	Liquid
1103.0285857154763	0.1	0.06587458632600135	15.180360982476335	12.596737154175491	1889.931027396739	15.004889248516976	27.805612165248323	28.373073638008496	5015.092497526755	0.0	232.94921410554102	62.30819556871865	Liquid
1103.1240103341945	0.1	0.06587332974334541	15.180650559128917	12.599307255127265	1890.3210981055477	15.007244591167039	27.80542846501302	28.372886188788797	5015.140330604437	0.0	232.93103366676988	62.310350020264586	Liquid
1103.2194349529127	0.1	0.06587207314761069	15.180940149843636	12.601877337358053	1890.7111662375642	15.009599708533942	27.805244800826618	28.37269877635369	5015.188165548691	0.0	232.91285668079516	62.312504245438895	Liquid
1103.3148595716311	0.1	0.0658708165387964	15.181229754621654	12.604447400878174	1891.101231793295	15.011954600668172	27.805061172689104	28.372511400703168	5015.23600235966	0.0	232.8946831465964	62.31465824424157	Liquid
1103.410284190349	0.1	0.06586955991690173	15.18151937346413	12.607017445697933	1891.4912947732435	15.014309267620181	27.804877580600486	28.372324061837233	5015.283841037481	0.0	232.8765130631567	62.31681201667261	Liquid
1103.5057088090675	0.1	0.0658683032819259	15.181809006372227	12.609587471827677	1891.8813551779183	15.016663709440445	27.80469402456077	28.37213675975589	5015.331681582291	0.0	232.85834642945778	62.318965562732046	Liquid
1103.6011334277857	0.1	0.06586704663386811	15.182098653347106	12.612157479277702	1892.271413007823	15.019017926179382	27.804510504569944	28.371949494459127	5015.379523994229	0.0	232.84018324448292	62.32111888241983	Liquid
1103.696558046504	0.1	0.06586578997272755	15.182388314389929	12.614727468058337	1892.6614682634643	15.021371917887441	27.80432702062802	28.37176226594696	5015.427368273435	0.0	232.82202350721482	62.323271975736006	Liquid
1103.7919826652221	0.1	0.06586453329850342	15.182677989501856	12.617297438179904	1893.051520945347	15.023725684615039	27.80414357273499	28.37157507421938	5015.475214420046	0.0	232.8038672166377	62.32542484268056	Liquid
1103.8874072839403	0.1	0.06586327661119494	15.18296767868405	12.619867389652718	1893.4415710539777	15.026079226412572	27.803960160890853	28.37138791927638	5015.5230624342	0.0	232.78571437173358	62.327577483253485	Liquid
1103.9828319026587	0.1	0.06586201991080128	15.18325738193768	12.622437322487109	1893.8316185898627	15.028432543330451	27.803776785095614	28.371200801117975	5015.570912316038	0.0	232.76756497148878	62.329729897454776	Liquid
1104.0782565213767	0.1	0.06586076319732168	15.183547099263897	12.625007236693376	1894.2216635535046	15.03078563541904	27.803593445349275	28.37101371974416	5015.618764065695	0.0	232.74941901488756	62.33188208528442	Liquid
1104.1736811400951	0.1	0.0658595064707553	15.183836830663875	12.627577132281864	1894.6117059454139	15.033138502728718	27.803410141651824	28.370826675154923	5015.666617683313	0.0	232.731276500914	62.334034046742474	Liquid
1104.269105758813	0.1	0.06585824973110135	15.18412657613877	12.63014700926287	1895.0017457660913	15.035491145309841	27.80322687400328	28.370639667350286	5015.71447316903	0.0	232.71313742855523	62.33618578182889	Liquid
1104.3645303775315	0.1	0.06585699297835908	15.184416335689738	12.632716867646733	1895.391783016047	15.03784356321276	27.80304364240362	28.370452696330226	5015.762330522982	0.0	232.69500179679545	62.33833729054368	Liquid
1104.4599549962497	0.1	0.06585573621252763	15.184706109317954	12.635286707443766	1895.7818176957842	15.040195756487808	27.802860446852872	28.370265762094768	5015.810189745309	0.0	232.67686960462206	62.34048857288684	Liquid
1104.555379614968	0.1	0.06585447943360621	15.184995897024582	12.637856528664285	1896.1718498058085	15.042547725185301	27.80267728735101	28.370078864643887	5015.85805083615	0.0	232.65874085102135	62.34263962885838	Liquid
1104.6508042336861	0.1	0.06585322264159407	15.18528569881077	12.640426331318611	1896.5618793466265	15.044899469355551	27.802494163898043	28.369892003977597	5015.905913795644	0.0	232.64061553498044	62.34479045845828	Liquid
1104.7462288524043	0.1	0.06585196583649035	15.185575514677696	12.642996115417063	1896.9519063187436	15.047250989048853	27.80231107649397	28.36970518009589	5015.953778623929	0.0	232.62249365548743	62.34694106168655	Liquid
1104.8416534711228	0.1	0.06585070901829428	15.185865344626519	12.645565880969976	1897.3419307226661	15.049602284315508	27.802128025138806	28.36951839299878	5016.001645321144	0.0	232.60437521152988	62.34909143854322	Liquid
1104.9370780898407	0.1	0.06584945218700505	15.1861551886584	12.648135627987639	1897.7319525588978	15.05195335520576	27.801945009832526	28.36933164268625	5016.049513887427	0.0	232.58626020209576	62.35124158902825	Liquid
1105.0325027085592	0.1	0.06584819534262187	15.186445046774505	12.650705356480403	1898.1219718279474	15.054304201769899	27.801762030575148	28.369144929158313	5016.097384322917	0.0	232.5681486261743	62.35339151314165	Liquid
1105.1279273272773	0.1	0.06584693848514395	15.186734918975997	12.653275066458567	1898.5119885303181	15.056654824058157	27.80157908736666	28.368958252414963	5016.145256627753	0.0	232.55004048275399	62.35554121088343	Liquid
